,target_Z,target_A,phase,energy,stopping_power,percentage_error,publication_year
104,2,4.0026,0,693.3,2.46,1.5,1990
105,2,4.0026,0,701.7,2.49,1.5,1990
106,2,4.0026,0,791.7,2.24,1.5,1990
107,2,4.0026,0,801.1,2.22,1.5,1990
108,2,4.0026,0,892.7,2.06,1.5,1990
109,2,4.0026,0,903.2,2.05,1.5,1990
110,2,4.0026,0,988.7,1.88,1.5,1990
111,2,4.0026,0,999.4,1.88,1.5,1990
112,2,4.0026,0,1090.1,1.76,1.5,1990
113,2,4.0026,0,1103.4,1.75,1.5,1990
114,2,4.0026,0,1186.2,1.65,1.5,1990
115,2,4.0026,0,1201.2,1.63,1.5,1990
116,2,4.0026,0,1287.2,1.55,1.5,1990
117,2,4.0026,0,1303.4,1.54,1.5,1990
118,2,4.0026,0,1403.3,1.45,1.5,1990
119,2,4.0026,0,1420.6,1.44,1.5,1990
120,2,4.0026,0,1505.0,1.37,1.5,1990
121,2,4.0026,0,1523.7,1.36,1.5,1990
122,2,4.0026,0,1604.0,1.3,1.5,1990
123,2,4.0026,0,1623.6,1.28,1.5,1990
124,2,4.0026,0,1705.6,1.25,1.5,1990
125,2,4.0026,0,1726.2,1.24,1.5,1990
126,2,4.0026,0,1803.5,1.19,1.5,1990
127,2,4.0026,0,1825.7,1.18,1.5,1990
128,2,4.0026,0,1905.7,1.14,1.5,1990
129,2,4.0026,0,1927.7,1.13,1.5,1990
130,2,4.0026,0,2008.1,1.1,1.5,1990
131,2,4.0026,0,2027.0,1.09,1.5,1990
132,2,4.0026,0,2113.7,1.05,1.5,1990
133,2,4.0026,0,2129.8,1.04,1.5,1990
134,2,4.0026,0,40.0,6.67,3.4,1953
135,2,4.0026,0,50.0,6.97,3.4,1953
136,2,4.0026,0,60.0,7.22,3.4,1953
137,2,4.0026,0,70.0,7.33,3.4,1953
138,2,4.0026,0,80.0,7.37,3.4,1953
139,2,4.0026,0,90.0,7.37,3.4,1953
140,2,4.0026,0,100.0,7.3,3.4,1953
141,2,4.0026,0,150.0,6.37,3.4,1953
142,2,4.0026,0,200.0,5.55,3.4,1953
143,2,4.0026,0,250.0,4.91,3.4,1953
144,2,4.0026,0,300.0,4.41,3.4,1953
145,2,4.0026,0,350.0,4.01,3.4,1953
146,2,4.0026,0,400.0,3.69,3.4,1953
147,2,4.0026,0,450.0,3.42,3.4,1953
148,2,4.0026,0,500.0,3.18,3.4,1953
149,2,4.0026,0,550.0,2.99,3.4,1953
150,2,4.0026,0,600.0,2.81,3.4,1953
151,2,4.0026,0,4.0,0.6,7.329176470588235,1993
152,2,4.0026,0,4.92,0.999,7.329176470588235,1993
153,2,4.0026,0,5.84,1.34,7.329176470588235,1993
154,2,4.0026,0,7.09,1.84,7.329176470588235,1993
155,2,4.0026,0,9.19,2.56,7.329176470588235,1993
156,2,4.0026,0,11.2,3.22,7.329176470588235,1993
157,2,4.0026,0,13.7,3.9,7.329176470588235,1993
158,2,4.0026,0,16.9,4.59,7.329176470588235,1993
159,2,4.0026,0,21.8,5.28,7.329176470588235,1993
160,2,4.0026,0,194.762,5.3355,6.0,1953
161,2,4.0026,0,293.66,4.4234,6.0,1953
162,2,4.0026,0,365.578,3.6485,6.0,1953
163,3,6.941,1,75.0,8.45,3.0,1956
164,3,6.941,1,100.0,8.7,3.0,1956
165,3,6.941,1,125.0,8.35,3.0,1956
166,3,6.941,1,150.0,7.72,3.0,1956
167,3,6.941,1,175.0,7.25,3.0,1956
168,3,6.941,1,200.0,6.9,3.0,1956
169,3,6.941,1,250.0,6.3,3.0,1956
170,3,6.941,1,300.0,5.75,3.0,1956
171,3,6.941,1,350.0,5.28,3.0,1956
172,3,6.941,1,400.0,4.88,3.0,1956
173,3,6.941,1,450.0,4.5,3.0,1956
174,3,6.941,1,500.0,4.15,3.0,1956
175,3,6.941,1,550.0,3.9,3.0,1956
176,3,6.941,1,600.0,3.65,3.0,1956
177,3,6.941,1,700.0,3.29,3.0,1956
178,3,6.941,1,800.0,3.03,3.0,1956
179,3,6.941,1,900.0,2.79,3.0,1956
180,3,6.941,1,1000.0,2.62,3.0,1956
181,3,6.941,1,1200.0,2.4,3.0,1956
182,3,6.941,1,1400.0,2.25,3.0,1956
183,3,6.941,1,12.4194,8.51314,7.0,1995
184,3,6.941,1,14.1085,9.00041,7.0,1995
185,3,6.941,1,16.0274,9.46671,7.0,1995
186,3,6.941,1,18.2073,9.89925,7.0,1995
187,3,6.941,1,20.6836,10.2848,7.0,1995
188,3,6.941,1,23.4968,10.6106,7.0,1995
189,3,6.941,1,26.6926,10.8653,7.0,1995
190,3,6.941,1,30.3231,11.0401,7.0,1995
191,3,6.941,1,34.4473,11.1298,7.0,1995
